_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
AJ Green,REB,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Aaron Wiggins,FG3M,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Aaron Wiggins,FG3M,DEMON,OVER,4.5,,,,False,0.0,0,,0.0
Aaron Wiggins,PA,STANDARD,UNDER,17.5,14.19545360061573,-3.30454639938427,UNDER,True,-0.8010427193164437,1,rotowire,-0.02403128157949331
Aaron Wiggins,PRA,STANDARD,UNDER,21.5,18.2293349569811,-3.2706650430189015,UNDER,True,-0.7969590402044843,1,rotowire,-0.02390877120613453
Aaron Wiggins,PR,STANDARD,UNDER,18.5,16.28351454342105,-2.216485456578951,UNDER,True,-0.6284368383093772,1,rotowire,-0.018853105149281315
Aaron Wiggins,PTS,GOBLIN,OVER,11.5,12.24963318705568,0.7496331870556805,OVER,True,0.24480372242410656,1,rotowire,0.007344111672723196
Aaron Wiggins,PTS,STANDARD,UNDER,15.5,12.24963318705568,-3.2503668129443195,UNDER,True,-0.7944770488445656,1,rotowire,-0.023834311465336967
Aaron Wiggins,PTS,DEMON,OVER,19.5,12.24963318705568,-7.2503668129443195,UNDER,False,0.0,0,rotowire,0.0
Aaron Wiggins,RA,STANDARD,UNDER,6.5,5.97970176992542,-0.5202982300745802,UNDER,True,-0.17171452360962072,1,rotowire,-0.0051514357082886215
Aaron Wiggins,REB,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Ace Bailey,AST,STANDARD,OVER,1.5,,,,False,0.0,0,,0.0
Ace Bailey,AST,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Ace Bailey,FG3M,STANDARD,UNDER,1.5,,,,False,0.0,0,,0.0
Ace Bailey,FG3M,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Ace Bailey,PA,STANDARD,UNDER,14.5,18.07995767584134,3.5799576758413387,OVER,False,0.0,0,rotowire,0.0
Ace Bailey,PA,DEMON,OVER,19.5,18.07995767584134,-1.4200423241586613,UNDER,False,0.0,0,rotowire,0.0
Ace Bailey,PA,GOBLIN,OVER,9.5,18.07995767584134,8.579957675841339,OVER,True,0.9934618370008863,1,rotowire,0.02980385511002659
Ace Bailey,PRA,GOBLIN,OVER,14.5,24.15843287090952,9.658432870909522,OVER,True,0.9968089487357447,1,rotowire,0.02990426846207234
Ace Bailey,PRA,STANDARD,UNDER,18.5,24.15843287090952,5.658432870909522,OVER,False,0.0,0,rotowire,0.0
Ace Bailey,PRA,DEMON,OVER,24.5,24.15843287090952,-0.34156712909047826,UNDER,False,0.0,0,rotowire,0.0
Ace Bailey,PR,GOBLIN,OVER,14.5,21.978978581072088,7.478978581072088,OVER,True,0.98642666862905,1,rotowire,0.0295928000588715
Ace Bailey,PR,STANDARD,UNDER,16.5,21.978978581072088,5.478978581072088,OVER,False,0.0,0,rotowire,0.0
Ace Bailey,PR,DEMON,OVER,24.5,21.978978581072088,-2.521021418927912,UNDER,False,0.0,0,rotowire,0.0
Ace Bailey,PTS,STANDARD,UNDER,12.5,15.900503386003903,3.400503386003903,OVER,False,0.0,0,rotowire,0.0
Ace Bailey,PTS,DEMON,OVER,14.5,15.900503386003903,1.4005033860039031,OVER,True,0.4356380748993946,1,rotowire,0.013069142246981838
Ace Bailey,PTS,GOBLIN,OVER,9.5,15.900503386003903,6.400503386003903,OVER,True,0.9723403723206607,1,rotowire,0.02917021116961982
Ace Bailey,RA,GOBLIN,OVER,4.5,,,,False,0.0,0,,0.0
Ace Bailey,RA,STANDARD,UNDER,6.0,,,,False,0.0,0,,0.0
