date,player,stat,line,direction,tier,hit,p_cal,product,n_legs
20260403,Naji Marshall,AST,3.5,OVER,STANDARD,0,0.4606,Windfall,4
20260403,Devin Carter,PRA,20.5,UNDER,STANDARD,1,0.4563,Windfall,4
20260403,Nique Clifford,AST,3.5,OVER,DEMON,1,0.4002,Windfall,4
20260403,OG Anunoby,FG3M,1.5,OVER,GOBLIN,1,0.7743,Windfall,5
20260403,Scottie Barnes,PRA,34.5,UNDER,STANDARD,1,0.4997,Windfall,5
20260403,Desmond Bane,PRA,28.5,UNDER,STANDARD,0,0.4355,Windfall,5
20260403,Quentin Grimes,REB,3.5,OVER,DEMON,1,0.4425,Windfall,5
20260402,Derik Queen,REB,2.5,OVER,GOBLIN,1,0.7687,System,3
20260402,Cason Wallace,RA,3.5,OVER,STANDARD,1,0.6127,System,3
20260402,Saddiq Bey,PA,18.5,OVER,STANDARD,0,0.4354,System,3
20260402,Luguentz Dort,RA,1.5,OVER,GOBLIN,0,0.7899,System,4
20260402,Evan Mobley,RA,8.5,OVER,GOBLIN,1,0.7408,System,4
20260402,Derik Queen,PRA,15.5,OVER,STANDARD,1,0.5443,System,4
20260402,Jeremiah Fears,REB,2.5,OVER,STANDARD,0,0.5878,System,4
20260402,Luguentz Dort,RA,2.5,OVER,GOBLIN,0,0.7687,System,5
20260402,James Harden,PTS,14.5,OVER,GOBLIN,1,0.6848,System,5
20260402,Derik Queen,PA,7.5,OVER,GOBLIN,1,0.7623,System,5
20260402,Jaylin Williams,PRA,10.0,OVER,STANDARD,1,0.574,System,5
20260402,Jeremiah Fears,RA,5.5,OVER,STANDARD,0,0.5625,System,5
20260402,Saddiq Bey,PTS,16.5,OVER,STANDARD,0,0.4166,Windfall,3
20260402,Jarrett Allen,AST,1.5,OVER,DEMON,0,0.5655,Windfall,3
20260402,Max Strus,PR,14.5,OVER,STANDARD,1,0.4882,Windfall,4
20260402,Dennis Schröder,PTS,8.5,OVER,DEMON,1,0.3649,Windfall,4
20260402,Zion Williamson,RA,5.5,OVER,GOBLIN,0,0.7488,Windfall,5
20260402,Cason Wallace,PR,9.5,OVER,DEMON,1,0.4679,Windfall,5
