source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Evan Mobley,AST,2026-05-01 22:30:22,3.4,0.2,None,None,None,None,2,side=over; rating=0; diff=0.9; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Jamal Shead,AST,2026-05-01 22:30:22,7.4,0.2,None,None,None,None,16,side=over; rating=0; diff=0.9; line=6.5; L10=2o/8u/10g; streak=1o; opp_rank=16
bettingpros,NBA,Jalen Suggs,AST,2026-05-01 22:30:22,5.4,0.2,None,None,None,None,1,side=over; rating=0; diff=0.9; line=4.5; L10=2o/8u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Jake LaRavia,PTS,2026-05-01 22:30:22,3.4,0.2,None,None,None,None,5,side=over; rating=0; diff=0.9; line=2.5; L10=4o/6u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Wendell Carter Jr.,REB,2026-05-01 22:30:22,8.4,0.2,None,None,None,None,4,side=over; rating=0; diff=0.9; line=7.5; L10=4o/6u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Paolo Banchero,REB,2026-05-01 22:30:22,9.4,0.2,None,None,None,None,4,side=over; rating=0; diff=0.9; line=8.5; L10=5o/5u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Reed Sheppard,REB,2026-05-01 22:30:22,3.4,0.2,None,None,None,None,5,side=over; rating=0; diff=0.9; line=2.5; L10=4o/6u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Ausar Thompson,STL,2026-05-01 22:30:22,2.4,0.2,None,None,None,None,13,side=over; rating=0; diff=0.9; line=1.5; L10=7o/3u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Jamison Battle,FG3M,2026-05-01 22:30:22,0.6,0.2,None,None,None,None,23,side=under; rating=0; diff=-0.9; line=1.5; L10=1o/9u/10g; streak=2u; opp_rank=23
bettingpros,NBA,Jamal Cain,FG3M,2026-05-01 22:30:22,1.4,0.2,None,None,None,None,8,side=over; rating=0; diff=0.9; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Jamal Shead,PA,2026-05-01 22:30:22,16.4,0.2,None,None,None,None,15,side=over; rating=0; diff=0.9; line=15.5; L10=2o/8u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Collin Murray-Boyles,PA,2026-05-01 22:30:22,13.6,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.9; line=14.5; L10=7o/3u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Deandre Ayton,PR,2026-05-01 22:30:22,21.4,0.2,None,None,None,None,2,side=over; rating=0; diff=0.9; line=20.5; L10=5o/5u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Dean Wade,RA,2026-05-01 22:30:22,5.4,0.2,None,None,None,None,6,side=over; rating=0; diff=0.9; line=4.5; L10=6o/4u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Jabari Smith Jr.,RA,2026-05-01 22:30:22,9.4,0.2,None,None,None,None,7,side=over; rating=0; diff=0.9; line=8.5; L10=4o/6u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Tari Eason,RA,2026-05-01 22:30:22,9.4,0.2,None,None,None,None,7,side=over; rating=0; diff=0.9; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Scottie Barnes,PRA,2026-05-01 22:30:22,36.6,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.9; line=37.5; L10=4o/6u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Aaron Holiday,PRA,2026-05-01 22:30:22,8.4,0.2,None,None,None,None,11,side=over; rating=0; diff=0.9; line=7.5; L10=5o/5u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Reed Sheppard,PRA,2026-05-01 22:30:22,24.4,0.2,None,None,None,None,11,side=over; rating=0; diff=0.9; line=23.5; L10=3o/7u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Collin Murray-Boyles,AST,2026-05-01 22:30:22,2.3,0.2,None,None,None,None,16,side=over; rating=0; diff=0.8; line=1.5; L10=6o/4u/10g; streak=3o; opp_rank=16
bettingpros,NBA,Amen Thompson,AST,2026-05-01 22:30:22,6.3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.8; line=5.5; L10=6o/4u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Dorian Finney-Smith,PTS,2026-05-01 22:30:22,3.3,0.2,None,None,None,None,11,side=over; rating=0; diff=0.8; line=2.5; L10=5o/5u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Rui Hachimura,PTS,2026-05-01 22:30:22,13.3,0.2,None,None,None,None,5,side=over; rating=0; diff=0.8; line=11.5; L10=10o/0u/10g; streak=10o; opp_rank=5
bettingpros,NBA,Austin Reaves,PTS,2026-05-01 22:30:22,21.7,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.8; line=23.5; L10=4o/6u/10g; streak=4u; opp_rank=5
bettingpros,NBA,Anthony Black,REB,2026-05-01 22:30:22,4.3,0.2,None,None,None,None,4,side=over; rating=0; diff=0.8; line=3.5; L10=4o/6u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Jalen Suggs,STL,2026-05-01 22:30:22,2.3,0.2,None,None,None,None,24,side=over; rating=0; diff=0.8; line=1.5; L10=5o/5u/10g; streak=2o; opp_rank=24
bettingpros,NBA,Ja'Kobe Walter,PA,2026-05-01 22:30:22,11.7,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.8; line=12.5; L10=4o/6u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Aaron Holiday,PA,2026-05-01 22:30:22,7.3,0.2,None,None,None,None,13,side=over; rating=0; diff=0.8; line=6.5; L10=5o/5u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Collin Murray-Boyles,PR,2026-05-01 22:30:22,17.7,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.8; line=18.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Dorian Finney-Smith,PR,2026-05-01 22:30:22,5.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=4.5; L10=5o/5u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jakob Poeltl,PRA,2026-05-01 22:30:22,16.3,0.2,None,None,None,None,15,side=over; rating=0; diff=0.8; line=15.5; L10=6o/4u/10g; streak=3o; opp_rank=15
bettingpros,NBA,Jarrett Allen,BLK,2026-05-01 22:30:22,0.8,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.7; line=1.5; L10=5o/5u/10g; streak=4o; opp_rank=19
bettingpros,NBA,Max Strus,PTS,2026-05-01 22:30:22,10.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=9.5; L10=4o/6u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Cade Cunningham,PTS,2026-05-01 22:30:22,28.8,0.2,None,None,None,None,12,side=under; rating=0; diff=-0.7; line=29.5; L10=3o/7u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Paolo Banchero,PTS,2026-05-01 22:30:22,25.2,0.2,None,None,None,None,3,side=over; rating=0; diff=0.7; line=23.5; L10=3o/7u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Evan Mobley,REB,2026-05-01 22:30:22,9.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=8.5; L10=4o/6u/10g; streak=2o; opp_rank=9
