source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Terrence Shannon Jr.,FG3M,2026-05-08 22:40:52,1.3,0.2,None,None,None,None,14,side=over; rating=0; diff=0.8; line=1; L10=3o/5u/10g; streak=2u; opp_rank=14
bettingpros,NBA,VJ Edgecombe,FG3M,2026-05-08 22:40:52,2.3,0.2,None,None,None,None,19,side=over; rating=0; diff=0.8; line=1.5; L10=5o/5u/10g; streak=3o; opp_rank=19
bettingpros,NBA,Joel Embiid,PA,2026-05-08 22:40:52,28.7,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.8; line=30.5; L10=6o/4u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Ayo Dosunmu,RA,2026-05-08 22:40:52,6.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=5.5; L10=6o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Mike Conley,PRA,2026-05-08 22:40:52,9.7,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.8; line=10.5; L10=4o/6u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Rudy Gobert,PRA,2026-05-08 22:40:52,22.3,0.2,None,None,None,None,7,side=over; rating=0; diff=0.8; line=21.5; L10=4o/6u/10g; streak=2u; opp_rank=7
bettingpros,NBA,Naz Reid,AST,2026-05-08 22:40:52,2.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=1.5; L10=5o/5u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Joel Embiid,AST,2026-05-08 22:40:52,3.8,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.7; line=4.5; L10=6o/4u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Anthony Edwards,PTS,2026-05-08 22:40:52,21.8,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.7; line=22.5; L10=1o/9u/10g; streak=4u; opp_rank=6
bettingpros,NBA,Mike Conley,REB,2026-05-08 22:40:52,1.8,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.7; line=2; L10=1o/7u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Julian Champagnie,REB,2026-05-08 22:40:52,6.2,0.2,None,None,None,None,14,side=over; rating=0; diff=0.7; line=5.5; L10=4o/6u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Miles McBride,FG3M,2026-05-08 22:40:52,1.8,0.2,None,None,None,None,18,side=under; rating=0; diff=-0.7; line=2.5; L10=3o/7u/10g; streak=4u; opp_rank=18
bettingpros,NBA,Anthony Edwards,PR,2026-05-08 22:40:52,25.8,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.7; line=27.5; L10=2o/8u/10g; streak=4u; opp_rank=7
bettingpros,NBA,Mike Conley,RA,2026-05-08 22:40:52,4.8,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.7; line=5.5; L10=2o/8u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Julius Randle,RA,2026-05-08 22:40:52,12.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=11.5; L10=4o/6u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Miles McBride,AST,2026-05-08 22:40:52,2.1,0.2,None,None,None,None,19,side=over; rating=0; diff=0.6; line=2; L10=0o/7u/10g; streak=9u; opp_rank=19
bettingpros,NBA,Jaden McDaniels,BLK,2026-05-08 22:40:52,1.1,0.2,None,None,None,None,12,side=over; rating=0; diff=0.6; line=0.5; L10=7o/3u/10g; streak=6o; opp_rank=12
bettingpros,NBA,Terrence Shannon Jr.,PTS,2026-05-08 22:40:52,9.9,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.6; line=10.5; L10=7o/3u/10g; streak=4o; opp_rank=6
bettingpros,NBA,Joel Embiid,PTS,2026-05-08 22:40:52,24.9,0.2,None,None,None,None,4,side=under; rating=0; diff=-0.6; line=25.5; L10=7o/3u/10g; streak=1u; opp_rank=4
bettingpros,NBA,De'Aaron Fox,REB,2026-05-08 22:40:52,4.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=3.5; L10=5o/5u/10g; streak=3u; opp_rank=14
bettingpros,NBA,Paul George,REB,2026-05-08 22:40:52,6.1,0.2,None,None,None,None,3,side=over; rating=0; diff=0.6; line=5.5; L10=2o/8u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Kelly Oubre Jr.,REB,2026-05-08 22:40:52,4.9,0.2,None,None,None,None,3,side=under; rating=0; diff=-0.6; line=5.5; L10=4o/6u/10g; streak=3u; opp_rank=3
bettingpros,NBA,Miles McBride,REB,2026-05-08 22:40:52,1.9,0.2,None,None,None,None,21,side=under; rating=0; diff=-0.6; line=2.5; L10=2o/8u/10g; streak=3u; opp_rank=21
bettingpros,NBA,Julius Randle,STL,2026-05-08 22:40:52,1.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=0.5; L10=4o/6u/10g; streak=4o; opp_rank=5
bettingpros,NBA,Jaden McDaniels,STL,2026-05-08 22:40:52,1.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=0.5; L10=4o/6u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Mikal Bridges,STL,2026-05-08 22:40:52,1.1,0.2,None,None,None,None,2,side=over; rating=0; diff=0.6; line=0.5; L10=6o/4u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Mike Conley,FG3M,2026-05-08 22:40:52,1.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=1; L10=3o/3u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Naz Reid,FG3M,2026-05-08 22:40:52,2.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=1.5; L10=4o/6u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Mike Conley,PA,2026-05-08 22:40:52,7.9,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.6; line=8.5; L10=5o/5u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Luke Kornet,PR,2026-05-08 22:40:52,7.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=6.5; L10=8o/2u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Mikal Bridges,PR,2026-05-08 22:40:52,17.9,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.6; line=18.5; L10=3o/7u/10g; streak=3o; opp_rank=19
bettingpros,NBA,Devin Vassell,RA,2026-05-08 22:40:52,7.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=6.5; L10=6o/4u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Quentin Grimes,RA,2026-05-08 22:40:52,5.1,0.2,None,None,None,None,3,side=over; rating=0; diff=0.6; line=4.5; L10=8o/2u/10g; streak=4o; opp_rank=3
bettingpros,NBA,Miles McBride,RA,2026-05-08 22:40:52,3.9,0.2,None,None,None,None,22,side=under; rating=0; diff=-0.6; line=4.5; L10=0o/10u/10g; streak=14u; opp_rank=22
bettingpros,NBA,Mike Conley,AST,2026-05-08 22:40:52,3,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.5; line=3.5; L10=4o/6u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Keldon Johnson,AST,2026-05-08 22:40:52,1,0.2,None,None,None,None,10,side=over; rating=0; diff=0.5; line=0.5; L10=10o/0u/10g; streak=11o; opp_rank=10
