source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Duncan Robinson,PTS,2026-05-15 11:26:54,12.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=10.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Caris LeVert,REB,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,9,side=over; rating=0; diff=0.6; line=2; L10=3o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Jaden McDaniels,STL,2026-05-15 11:26:54,1.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=0.5; L10=5o/5u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Devin Vassell,STL,2026-05-15 11:26:54,0.9,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.6; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Ausar Thompson,STL,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,19,side=over; rating=0; diff=0.6; line=1.5; L10=5o/5u/10g; streak=1o; opp_rank=19
bettingpros,NBA,Keldon Johnson,FG3M,2026-05-15 11:26:54,1.1,0.2,None,None,None,None,1,side=over; rating=0; diff=0.6; line=0.5; L10=7o/3u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Julian Champagnie,FG3M,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,1,side=over; rating=0; diff=0.6; line=1.5; L10=9o/1u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Dennis Schroder,FG3M,2026-05-15 11:26:54,1.1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.6; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Caris LeVert,FG3M,2026-05-15 11:26:54,1.1,0.2,None,None,None,None,21,side=over; rating=0; diff=0.6; line=0.5; L10=2o/8u/10g; streak=1u; opp_rank=21
bettingpros,NBA,Dean Wade,FG3M,2026-05-15 11:26:54,1.1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.6; line=0.5; L10=8o/2u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Daniss Jenkins,PA,2026-05-15 11:26:54,13.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=12.5; L10=4o/6u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Caris LeVert,PR,2026-05-15 11:26:54,10.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=8.5; L10=2o/8u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Paul Reed,PR,2026-05-15 11:26:54,12.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=11.5; L10=6o/4u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Ayo Dosunmu,RA,2026-05-15 11:26:54,6.9,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.6; line=7.5; L10=5o/5u/10g; streak=3o; opp_rank=9
