projection_id,player,stat,line,tag,team,opp,home,game_date,direction
11795696,Tobias Harris,PR,21.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11795696,Tobias Harris,PR,21.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11802661,Jalen Suggs,PA,21.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802661,Jalen Suggs,PA,21.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11802663,Jalen Suggs,PR,21.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802663,Jalen Suggs,PR,21.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784131,Ausar Thompson,PRA,20.5,,DET,ORL,0,2026-05-01,OVER
11784131,Ausar Thompson,PRA,20.5,,DET,ORL,0,2026-05-01,UNDER
11785970,Desmond Bane,PTS,20.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785970,Desmond Bane,PTS,20.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11786014,Jalen Suggs,PRA,20.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11786014,Jalen Suggs,PRA,20.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11794475,Jalen Duren,PR,20.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11794475,Jalen Duren,PR,20.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11798755,Desmond Bane,PA,20.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11798755,Desmond Bane,PA,20.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11802652,Ausar Thompson,PR,20.5,DEMON,DET,ORL,0,2026-05-01,OVER
11802652,Ausar Thompson,PR,20.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11802657,Desmond Bane,PR,20.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11802657,Desmond Bane,PR,20.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11807322,Anthony Black,PR,20.5,DEMON,ORL,DET,1,2026-05-01,OVER
11807322,Anthony Black,PR,20.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784126,Ausar Thompson,PA,19.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784126,Ausar Thompson,PA,19.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784129,Ausar Thompson,PR,19.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784129,Ausar Thompson,PR,19.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784159,Cade Cunningham,RA,19.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784159,Cade Cunningham,RA,19.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784165,Desmond Bane,PTS,19.5,,ORL,DET,1,2026-05-01,OVER
11784165,Desmond Bane,PTS,19.5,,ORL,DET,1,2026-05-01,UNDER
11784185,Duncan Robinson,PR,19.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784185,Duncan Robinson,PR,19.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784187,Duncan Robinson,PRA,19.5,DEMON,DET,ORL,0,2026-05-01,OVER
