"projection_id","control_p_adj","variant_p_adj","delta_p_adj","control_hit_prob","variant_hit_prob","delta_hit_prob","control_ev_mult","variant_ev_mult","delta_ev_mult","control_role_ctx_mult","variant_role_ctx_mult","delta_role_ctx_mult"
"9837510","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837519","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837521","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838347","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838414","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838435","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838589","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9839476","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9840117","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843342","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9844461","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9844463","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834308","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834315","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837481","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
