team,out_player,beneficiary_player,stat,games,weight,team_u,stat_u,out_canon,ben_canon
CHI,Zach Collins,Yuki Kawamura,AST,10,0.0013297172185641757,CHI,AST,zach collins,yuki kawamura
CHI,Zach Collins,Yuki Kawamura,PTS,10,0.0014815561858617617,CHI,PTS,zach collins,yuki kawamura
CHI,Zach Collins,Yuki Kawamura,REB,10,0.002500502093269118,CHI,REB,zach collins,yuki kawamura
MEM,Ja Morant,Cam Spencer,AST,10,0.013463816489520502,MEM,AST,ja morant,cam spencer
MEM,Ja Morant,Cam Spencer,PTS,10,0.00635573227632286,MEM,PTS,ja morant,cam spencer
MEM,Ja Morant,Cam Spencer,REB,10,0.002273073901694732,MEM,REB,ja morant,cam spencer
MEM,Ja Morant,Cedric Coward,AST,10,0.011188285944172038,MEM,AST,ja morant,cedric coward
MEM,Ja Morant,Cedric Coward,PTS,10,0.0068067750620693325,MEM,PTS,ja morant,cedric coward
MEM,Ja Morant,Cedric Coward,REB,10,0.002778305045441118,MEM,REB,ja morant,cedric coward
MEM,Ja Morant,Christian Koloko,AST,10,0.005655010541144753,MEM,AST,ja morant,christian koloko
MEM,Ja Morant,Christian Koloko,PTS,10,0.003203612041850819,MEM,PTS,ja morant,christian koloko
MEM,Ja Morant,Christian Koloko,REB,10,0.001533466791208704,MEM,REB,ja morant,christian koloko
MEM,Ja Morant,DeJon Jarreau,AST,10,0.00951819977406795,MEM,AST,ja morant,dejon jarreau
MEM,Ja Morant,DeJon Jarreau,PTS,10,0.004766986067922714,MEM,PTS,ja morant,dejon jarreau
MEM,Ja Morant,DeJon Jarreau,REB,10,0.0021662092391967424,MEM,REB,ja morant,dejon jarreau
MEM,Ja Morant,GG Jackson,AST,10,0.008659715942234055,MEM,AST,ja morant,gg jackson
MEM,Ja Morant,GG Jackson,PTS,10,0.005908553642608272,MEM,PTS,ja morant,gg jackson
MEM,Ja Morant,GG Jackson,REB,10,0.002315533998561538,MEM,REB,ja morant,gg jackson
MEM,Ja Morant,Jahmai Mashack,AST,10,0.0073534998074866595,MEM,AST,ja morant,jahmai mashack
MEM,Ja Morant,Jahmai Mashack,PTS,10,0.004303798124856265,MEM,PTS,ja morant,jahmai mashack
MEM,Ja Morant,Jahmai Mashack,REB,10,0.0017198921956321305,MEM,REB,ja morant,jahmai mashack
MEM,Ja Morant,Jaren Jackson Jr.,AST,10,0.013935183331265092,MEM,AST,ja morant,jaren jackson
MEM,Ja Morant,Jaren Jackson Jr.,PTS,10,0.009860909295686742,MEM,PTS,ja morant,jaren jackson
MEM,Ja Morant,Jaren Jackson Jr.,REB,10,0.0035350621344060994,MEM,REB,ja morant,jaren jackson
MEM,Ja Morant,Javon Small,AST,10,0.010071929933415557,MEM,AST,ja morant,javon small
MEM,Ja Morant,Javon Small,PTS,10,0.005212419497052846,MEM,PTS,ja morant,javon small
MEM,Ja Morant,Javon Small,REB,10,0.0020438326705826447,MEM,REB,ja morant,javon small
MEM,Ja Morant,Jock Landale,AST,10,0.008810819711170998,MEM,AST,ja morant,jock landale
MEM,Ja Morant,Jock Landale,PTS,10,0.00572820901735834,MEM,PTS,ja morant,jock landale
MEM,Ja Morant,Jock Landale,REB,10,0.0025070341019942243,MEM,REB,ja morant,jock landale
MEM,Ja Morant,John Konchar,AST,10,0.004964857531225316,MEM,AST,ja morant,john konchar
MEM,Ja Morant,John Konchar,PTS,10,0.0026777798183472345,MEM,PTS,ja morant,john konchar
