source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Donovan Mitchell,FG3M,2026-05-02 22:30:30,2.5,0.7,0.5348,0.4652,,,,n_books=7
oddsapi,NBA,Max Strus,FG3M,2026-05-02 22:30:30,2.5,0.8,0.4121,0.5879,,,,n_books=8
oddsapi,NBA,R.J. Barrett,FG3M,2026-05-02 22:30:30,1.5,0.7,0.531,0.469,,,,n_books=7
oddsapi,NBA,Jamal Shead,FG3M,2026-05-02 22:30:30,1.5,0.6,0.4152,0.5848,,,,n_books=6
oddsapi,NBA,Evan Mobley,FG3M,2026-05-02 22:30:30,0.5,0.4,0.6105,0.3895,,,,n_books=4
oddsapi,NBA,Scottie Barnes,FG3M,2026-05-02 22:30:30,0.5,0.4,0.6325,0.3675,,,,n_books=4
oddsapi,NBA,Ja'Kobe Walter,PTS,2026-05-02 22:30:30,11.5,0.4,0.4926,0.5074,,,,n_books=4
oddsapi,NBA,Ja'Kobe Walter,REB,2026-05-02 22:30:30,3.5,0.5,0.5254,0.4746,,,,n_books=5
oddsapi,NBA,Ja'Kobe Walter,FG3M,2026-05-02 22:30:30,2.5,0.5,0.464,0.536,,,,n_books=5
oddsapi,NBA,Ja'Kobe Walter,AST,2026-05-02 22:30:30,1.5,0.1,0.5347,0.4653,,,,n_books=1
oddsapi,NBA,Jakob Poeltl,AST,2026-05-02 22:30:30,1.5,0.1,0.4754,0.5246,,,,n_books=1
oddsapi,NBA,Stephon Castle,AST,2026-05-02 22:30:30,7.5,0.6,0.4575,0.5425,,,,n_books=6
oddsapi,NBA,De'Aaron Fox,AST,2026-05-02 22:30:30,6.5,0.4,0.4382,0.5618,,,,n_books=4
oddsapi,NBA,Julius Randle,AST,2026-05-02 22:30:30,4.5,0.6,0.49,0.51,,,,n_books=6
oddsapi,NBA,Ayo Dosunmu,AST,2026-05-02 22:30:30,4.5,0.5,0.4298,0.5702,,,,n_books=5
oddsapi,NBA,Mike Conley,AST,2026-05-02 22:30:30,3.5,0.6,0.544,0.456,,,,n_books=6
oddsapi,NBA,Victor Wembanyama,AST,2026-05-02 22:30:30,3.5,0.6,0.3983,0.6017,,,,n_books=6
oddsapi,NBA,Dylan Harper,AST,2026-05-02 22:30:30,2.5,0.5,0.5335,0.4665,,,,n_books=5
oddsapi,NBA,Jaden McDaniels,AST,2026-05-02 22:30:30,2.5,0.5,0.5139,0.4861,,,,n_books=5
oddsapi,NBA,Devin Vassell,AST,2026-05-02 22:30:30,2.5,0.5,0.4593,0.5407,,,,n_books=5
oddsapi,NBA,Rudy Gobert,AST,2026-05-02 22:30:30,1.5,0.3,0.5176,0.4824,,,,n_books=3
oddsapi,NBA,Julian Champagnie,AST,2026-05-02 22:30:30,1.5,0.2,0.3772,0.6228,,,,n_books=2
oddsapi,NBA,Victor Wembanyama,PTS,2026-05-02 22:30:30,27.5,0.6,0.4987,0.5013,,,,n_books=6
oddsapi,NBA,Julius Randle,PTS,2026-05-02 22:30:30,21.5,0.6,0.4833,0.5167,,,,n_books=6
oddsapi,NBA,De'Aaron Fox,PTS,2026-05-02 22:30:30,17.5,0.6,0.5036,0.4964,,,,n_books=6
oddsapi,NBA,Stephon Castle,PTS,2026-05-02 22:30:30,17.5,0.6,0.4943,0.5057,,,,n_books=6
oddsapi,NBA,Ayo Dosunmu,PTS,2026-05-02 22:30:30,17.5,0.6,0.4952,0.5048,,,,n_books=6
oddsapi,NBA,Jaden McDaniels,PTS,2026-05-02 22:30:30,16.5,0.5,0.519,0.481,,,,n_books=5
oddsapi,NBA,Devin Vassell,PTS,2026-05-02 22:30:30,12.5,0.6,0.5033,0.4967,,,,n_books=6
oddsapi,NBA,Naz Reid,PTS,2026-05-02 22:30:30,11.5,0.4,0.5125,0.4875,,,,n_books=4
oddsapi,NBA,Dylan Harper,PTS,2026-05-02 22:30:30,9.5,0.6,0.4848,0.5152,,,,n_books=6
oddsapi,NBA,Rudy Gobert,PTS,2026-05-02 22:30:30,8.5,0.5,0.5135,0.4865,,,,n_books=5
oddsapi,NBA,Keldon Johnson,PTS,2026-05-02 22:30:30,8.5,0.5,0.4882,0.5118,,,,n_books=5
oddsapi,NBA,Julian Champagnie,PTS,2026-05-02 22:30:30,8.5,0.6,0.4851,0.5149,,,,n_books=6
oddsapi,NBA,Mike Conley,PTS,2026-05-02 22:30:30,5.5,0.6,0.5119,0.4881,,,,n_books=6
oddsapi,NBA,Rudy Gobert,REB,2026-05-02 22:30:30,11.5,0.5,0.4782,0.5218,,,,n_books=5
oddsapi,NBA,Victor Wembanyama,REB,2026-05-02 22:30:30,11.5,0.7,0.5138,0.4862,,,,n_books=7
oddsapi,NBA,Julius Randle,REB,2026-05-02 22:30:30,6.5,0.6,0.5492,0.4508,,,,n_books=6
oddsapi,NBA,Naz Reid,REB,2026-05-02 22:30:30,5.5,0.6,0.5273,0.4727,,,,n_books=6
oddsapi,NBA,Stephon Castle,REB,2026-05-02 22:30:30,5.5,0.6,0.5228,0.4772,,,,n_books=6
oddsapi,NBA,Julian Champagnie,REB,2026-05-02 22:30:30,4.5,0.6,0.5505,0.4495,,,,n_books=6
oddsapi,NBA,Jaden McDaniels,REB,2026-05-02 22:30:30,4.5,0.6,0.5079,0.4921,,,,n_books=6
oddsapi,NBA,Devin Vassell,REB,2026-05-02 22:30:30,4.5,0.4,0.4398,0.5602,,,,n_books=4
oddsapi,NBA,Ayo Dosunmu,REB,2026-05-02 22:30:30,4.5,0.4,0.4301,0.5699,,,,n_books=4
oddsapi,NBA,De'Aaron Fox,REB,2026-05-02 22:30:30,3.5,0.5,0.5712,0.4288,,,,n_books=5
oddsapi,NBA,Keldon Johnson,REB,2026-05-02 22:30:30,3.5,0.6,0.4852,0.5148,,,,n_books=6
oddsapi,NBA,Dylan Harper,REB,2026-05-02 22:30:30,2.5,0.4,0.5472,0.4528,,,,n_books=4
oddsapi,NBA,Mike Conley,REB,2026-05-02 22:30:30,2.5,0.3,0.4723,0.5277,,,,n_books=3
oddsapi,NBA,Victor Wembanyama,FG3M,2026-05-02 22:30:30,2.5,0.6,0.4477,0.5523,,,,n_books=6
oddsapi,NBA,Devin Vassell,FG3M,2026-05-02 22:30:30,1.5,0.6,0.6186,0.3814,,,,n_books=6
oddsapi,NBA,Julian Champagnie,FG3M,2026-05-02 22:30:30,1.5,0.4,0.6029,0.3971,,,,n_books=4
oddsapi,NBA,Ayo Dosunmu,FG3M,2026-05-02 22:30:30,1.5,0.6,0.5685,0.4315,,,,n_books=6
oddsapi,NBA,De'Aaron Fox,FG3M,2026-05-02 22:30:30,1.5,0.6,0.5276,0.4724,,,,n_books=6
oddsapi,NBA,Naz Reid,FG3M,2026-05-02 22:30:30,1.5,0.6,0.5114,0.4886,,,,n_books=6
oddsapi,NBA,Jaden McDaniels,FG3M,2026-05-02 22:30:30,1.5,0.6,0.4635,0.5365,,,,n_books=6
oddsapi,NBA,Julius Randle,FG3M,2026-05-02 22:30:30,1.5,0.6,0.4153,0.5847,,,,n_books=6
oddsapi,NBA,Stephon Castle,FG3M,2026-05-02 22:30:30,1.5,0.6,0.4053,0.5947,,,,n_books=6
oddsapi,NBA,Mike Conley,FG3M,2026-05-02 22:30:30,1.5,0.6,0.3996,0.6004,,,,n_books=6
oddsapi,NBA,Keldon Johnson,FG3M,2026-05-02 22:30:30,0.5,0.3,0.5745,0.4255,,,,n_books=3
oddsapi,NBA,LeBron James,AST,2026-05-02 22:30:30,7.5,0.7,0.5027,0.4973,,,,n_books=7
oddsapi,NBA,Shai Gilgeous-Alexander,AST,2026-05-02 22:30:30,7.5,0.6,0.4598,0.5402,,,,n_books=6
oddsapi,NBA,Austin Reaves,AST,2026-05-02 22:30:30,5.5,0.6,0.4372,0.5628,,,,n_books=6
oddsapi,NBA,Jalen Williams,AST,2026-05-02 22:30:30,4.5,0.3,0.5392,0.4608,,,,n_books=3
oddsapi,NBA,Ajay Mitchell,AST,2026-05-02 22:30:30,3.5,0.5,0.4686,0.5314,,,,n_books=5
oddsapi,NBA,Isaiah Hartenstein,AST,2026-05-02 22:30:30,2.5,0.5,0.5406,0.4594,,,,n_books=5
oddsapi,NBA,Marcus Smart,AST,2026-05-02 22:30:30,2.5,0.5,0.54,0.46,,,,n_books=5
oddsapi,NBA,Cason Wallace,AST,2026-05-02 22:30:30,1.5,0.3,0.6009,0.3991,,,,n_books=3
